[sup_deep_e50_l1] epoch 1/50  train=0.8232  val=0.6827
[sup_deep_e50_l1] epoch 2/50  train=0.5663  val=0.6556
[sup_deep_e50_l1] epoch 3/50  train=0.5067  val=0.5686
[sup_deep_e50_l1] epoch 4/50  train=0.4738  val=0.5272
[sup_deep_e50_l1] epoch 5/50  train=0.4519  val=0.5091
[sup_deep_e50_l1] epoch 6/50  train=0.4311  val=0.5609
[sup_deep_e50_l1] epoch 7/50  train=0.4167  val=0.4743
[sup_deep_e50_l1] epoch 8/50  train=0.4023  val=0.4355
[sup_deep_e50_l1] epoch 9/50  train=0.3892  val=0.4646
[sup_deep_e50_l1] epoch 10/50  train=0.3757  val=0.4393
[sup_deep_e50_l1] epoch 11/50  train=0.3624  val=0.4115
[sup_deep_e50_l1] epoch 12/50  train=0.3515  val=0.3909
[sup_deep_e50_l1] epoch 13/50  train=0.3420  val=0.3708
[sup_deep_e50_l1] epoch 14/50  train=0.3347  val=0.4056
[sup_deep_e50_l1] epoch 15/50  train=0.3271  val=0.4481
[sup_deep_e50_l1] epoch 16/50  train=0.3175  val=0.3629
[sup_deep_e50_l1] epoch 17/50  train=0.3112  val=0.3978
[sup_deep_e50_l1] epoch 18/50  train=0.3052  val=0.3618
[sup_deep_e50_l1] epoch 19/50  train=0.3000  val=0.3517
[sup_deep_e50_l1] epoch 20/50  train=0.2954  val=0.3361
[sup_deep_e50_l1] epoch 21/50  train=0.2891  val=0.3519
[sup_deep_e50_l1] epoch 22/50  train=0.2841  val=0.3757
[sup_deep_e50_l1] epoch 23/50  train=0.2808  val=0.3396
[sup_deep_e50_l1] epoch 24/50  train=0.2762  val=0.4062
[sup_deep_e50_l1] epoch 25/50  train=0.2735  val=0.3363
[sup_deep_e50_l1] epoch 26/50  train=0.2676  val=0.3264
[sup_deep_e50_l1] epoch 27/50  train=0.2644  val=0.3209
[sup_deep_e50_l1] epoch 28/50  train=0.2618  val=0.3313
[sup_deep_e50_l1] epoch 29/50  train=0.2590  val=0.3482
[sup_deep_e50_l1] epoch 30/50  train=0.2561  val=0.3405
[sup_deep_e50_l1] epoch 31/50  train=0.2512  val=0.3457
[sup_deep_e50_l1] epoch 32/50  train=0.2489  val=0.3132
[sup_deep_e50_l1] epoch 33/50  train=0.2464  val=0.3109
[sup_deep_e50_l1] epoch 34/50  train=0.2443  val=0.3176
[sup_deep_e50_l1] epoch 35/50  train=0.2424  val=0.3121
[sup_deep_e50_l1] epoch 36/50  train=0.2391  val=0.3437
[sup_deep_e50_l1] epoch 37/50  train=0.2375  val=0.3087
[sup_deep_e50_l1] epoch 38/50  train=0.2356  val=0.3538
[sup_deep_e50_l1] epoch 39/50  train=0.2338  val=0.3008
[sup_deep_e50_l1] epoch 40/50  train=0.2319  val=0.3259
[sup_deep_e50_l1] epoch 41/50  train=0.2291  val=0.3042
[sup_deep_e50_l1] epoch 42/50  train=0.2272  val=0.3193
[sup_deep_e50_l1] epoch 43/50  train=0.2263  val=0.3169
[sup_deep_e50_l1] epoch 44/50  train=0.2245  val=0.3023
[sup_deep_e50_l1] epoch 45/50  train=0.2230  val=0.2856
[sup_deep_e50_l1] epoch 46/50  train=0.2202  val=0.3086
[sup_deep_e50_l1] epoch 47/50  train=0.2194  val=0.2969
[sup_deep_e50_l1] epoch 48/50  train=0.2185  val=0.3134
[sup_deep_e50_l1] epoch 49/50  train=0.2173  val=0.2919
[sup_deep_e50_l1] epoch 50/50  train=0.2156  val=0.2932
done. best val loss = 0.2856. saved to results\supervised\sup_deep_e50_l1
