[sup_deep_e10_l1] epoch 1/10  train=0.7445  val=0.6372
[sup_deep_e10_l1] epoch 2/10  train=0.5422  val=0.5746
[sup_deep_e10_l1] epoch 3/10  train=0.4938  val=0.5402
[sup_deep_e10_l1] epoch 4/10  train=0.4653  val=0.5144
[sup_deep_e10_l1] epoch 5/10  train=0.4472  val=0.4954
[sup_deep_e10_l1] epoch 6/10  train=0.4296  val=0.4951
[sup_deep_e10_l1] epoch 7/10  train=0.4147  val=0.4419
[sup_deep_e10_l1] epoch 8/10  train=0.4016  val=0.4229
[sup_deep_e10_l1] epoch 9/10  train=0.3876  val=0.4666
[sup_deep_e10_l1] epoch 10/10  train=0.3751  val=0.4169
done. best val loss = 0.4169. saved to ..\results\supervised\sup_deep_e10_l1
